State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
01,101,AL,Montgomery County,"46,972","41,853","52,091",21.3,19.0,23.6,"17,798","15,529","20,067",32.3,28.2,36.4,"11,523","9,657","13,389",29.3,24.6,34.0,"41,556","39,887","43,225",,,,,,
01,103,AL,Morgan County,"16,562","13,629","19,495",14.1,11.6,16.6,"6,037","4,790","7,284",21.4,17.0,25.8,"4,151","3,280","5,022",20.0,15.8,24.2,"44,859","42,019","47,699",,,,,,
01,105,AL,Perry County,"3,874","3,156","4,592",39.5,32.2,46.8,"1,364","1,066","1,662",54.3,42.4,66.2,970,768,"1,172",52.5,41.6,63.4,"24,742","22,334","27,150",,,,,,
01,107,AL,Pickens County,"4,723","3,783","5,663",24.4,19.5,29.3,"1,615","1,261","1,969",35.5,27.7,43.3,"1,113",870,"1,356",33.0,25.8,40.2,"31,032","28,308","33,756",,,,,,
01,109,AL,Pike County,"9,304","8,258","10,350",30.0,26.6,33.4,"2,488","2,082","2,894",37.7,31.5,43.9,"1,663","1,363","1,963",35.1,28.8,41.4,"32,771","29,860","35,682",,,,,,
01,111,AL,Randolph County,"5,559","4,567","6,551",24.8,20.4,29.2,"1,971","1,580","2,362",36.5,29.3,43.7,"1,331","1,056","1,606",33.1,26.3,39.9,"32,584","30,291","34,877",,,,,,
01,113,AL,Russell County,"12,654","10,692","14,616",24.1,20.4,27.8,"4,783","3,882","5,684",35.8,29.0,42.6,"3,172","2,539","3,805",34.1,27.3,40.9,"32,733","30,350","35,116",,,,,,
01,115,AL,St. Clair County,"10,578","8,491","12,665",13.0,10.4,15.6,"3,874","2,974","4,774",19.8,15.2,24.4,"2,742","2,119","3,365",19.5,15.1,23.9,"48,296","44,810","51,782",,,,,,
01,117,AL,Shelby County,"18,948","16,705","21,191",9.8,8.6,11.0,"6,538","5,514","7,562",13.2,11.1,15.3,"4,264","3,513","5,015",11.7,9.6,13.8,"67,135","63,299","70,971",,,,,,
01,119,AL,Sumter County,"4,080","3,131","5,029",31.3,24.0,38.6,"1,295",984,"1,606",42.8,32.5,53.1,878,665,"1,091",38.6,29.2,48.0,"25,586","23,148","28,024",,,,,,
